FEN,Evaluation
r1bqk1nr/pp2ppbp/2pp2p1/2nP2B1/4PP2/2N2N2/PPPQ2PP/2KR1B1R b kq - 3 9,+84
r1b1k1nr/pp2ppbp/1qpp2p1/2nP2B1/4PP2/2N2N2/PPPQ2PP/2KR1B1R w kq - 4 10,+116
r1b1k1nr/pp2ppbp/1qpp2p1/2nPP1B1/5P2/2N2N2/PPPQ2PP/2KR1B1R b kq - 0 10,+43
r3k1nr/pp2ppbp/1qpp2p1/2nPP1B1/5Pb1/2N2N2/PPPQ2PP/2KR1B1R w kq - 1 11,+140
r3k1nr/pp2ppbp/1qpp2p1/2nPP1B1/5Pb1/2N2N2/PPPQ2PP/2K1RB1R b kq - 2 11,+78
2kr2nr/pp2ppbp/1qpp2p1/2nPP1B1/5Pb1/2N2N2/PPPQ2PP/2K1RB1R w - - 3 12,+123
2kr2nr/pp2ppbp/1qPp2p1/2n1P1B1/5Pb1/2N2N2/PPPQ2PP/2K1RB1R b - - 0 12,0
2kr2nr/p3ppbp/1qpp2p1/2n1P1B1/5Pb1/2N2N2/PPPQ2PP/2K1RB1R w - - 0 13,+53
2kr2nr/p3ppbp/1qpp2p1/2n1P1B1/5Pb1/2N1QN2/PPP3PP/2K1RB1R b - - 1 13,-59
2kr2nr/p3p1bp/1qpp1pp1/2n1P1B1/5Pb1/2N1QN2/PPP3PP/2K1RB1R w - - 0 14,-7
2kr2nr/p3p1bp/1qpp1pp1/2n1P3/5PbB/2N1QN2/PPP3PP/2K1RB1R b - - 1 14,-62
2kr2nr/p3p1bp/1qpp1p2/2n1P1p1/5PbB/2N1QN2/PPP3PP/2K1RB1R w - - 0 15,+210
2kr2nr/p3p1bp/1qpp1p2/2n1P1P1/6bB/2N1QN2/PPP3PP/2K1RB1R b - - 0 15,+139
2kr2nr/p3p1bp/1qpp4/2n1p1P1/6bB/2N1QN2/PPP3PP/2K1RB1R w - - 0 16,+166
2kr2nr/p3p1bp/1qpp4/2n1p1P1/4N1bB/4QN2/PPP3PP/2K1RB1R b - - 1 16,+46
2kr2nr/p3p1bp/1qpp4/4p1P1/4n1bB/4QN2/PPP3PP/2K1RB1R w - - 0 17,+100
2kr2nr/p3p1bp/1qpp4/4p1P1/4Q1bB/5N2/PPP3PP/2K1RB1R b - - 0 17,+73
2kr2nr/p3p1bp/1qppb3/4p1P1/4Q2B/5N2/PPP3PP/2K1RB1R w - - 1 18,+114
2kr2nr/p3p1bp/1qppb3/4p1P1/4Q2B/1P3N2/P1P3PP/2K1RB1R b - - 0 18,0
2kr2nr/p3p1bp/1qpp4/3bp1P1/4Q2B/1P3N2/P1P3PP/2K1RB1R w - - 1 19,+76
2kr2nr/p3p1bp/1qpp4/3bp1P1/Q6B/1P3N2/P1P3PP/2K1RB1R b - - 2 19,+7
2k2rnr/p3p1bp/1qpp4/3bp1P1/Q6B/1P3N2/P1P3PP/2K1RB1R w - - 3 20,+105
2k2rnr/p3p1bp/Bqpp4/3bp1P1/Q6B/1P3N2/P1P3PP/2K1R2R b - - 4 20,+37
5rnr/p2kp1bp/Bqpp4/3bp1P1/Q6B/1P3N2/P1P3PP/2K1R2R w - - 5 21,+119
5rnr/p2kp1bp/Bqpp4/3bp1P1/Q7/1P3NB1/P1P3PP/2K1R2R b - - 6 21,0
5rnr/p2kp1bp/Bqpp4/3b2P1/Q3p3/1P3NB1/P1P3PP/2K1R2R w - - 0 22,+126
5rnr/p2kp1bp/Bqpp4/3b2P1/Q3p2N/1P4B1/P1P3PP/2K1R2R b - - 1 22,-128
5rnr/p2kp1bp/B1pp4/2qb2P1/Q3p2N/1P4B1/P1P3PP/2K1R2R w - - 2 23,0
5rnr/p2kp1bp/2pp4/2qb2P1/Q3p2N/1P4B1/P1P1B1PP/2K1R2R b - - 3 23,-248
5rnr/p2kp1bp/2ppb3/2q3P1/Q3p2N/1P4B1/P1P1B1PP/2K1R2R w - - 4 24,0
5rnr/p2kp1bp/2ppb3/2q3P1/Q3p2N/1P4B1/P1P1B1PP/2K1RR2 b - - 5 24,-68
6nr/p2kp1bp/2ppb3/2q3P1/Q3p2N/1P4B1/P1P1B1PP/2K1Rr2 w - - 0 25,-58
6nr/p2kp1bp/2ppb3/2q3P1/Q3p2N/1P4B1/P1P1B1PP/2K2R2 b - - 0 25,-83
6nr/p2kp1bp/2ppb3/6q1/Q3p2N/1P4B1/P1P1B1PP/2K2R2 w - - 0 26,-55
6nr/p2kp1bp/2ppb3/6q1/Q3p2N/1P4B1/P1P1B1PP/1K3R2 b - - 1 26,-200
6nr/p2kp1bp/2ppb3/2q5/Q3p2N/1P4B1/P1P1B1PP/1K3R2 w - - 2 27,-135
6nr/p2kp1bp/2ppb3/2q5/Q3p2N/1P6/P1P1BBPP/1K3R2 b - - 3 27,-168
6nr/p2kp1bp/2ppb3/2q5/Q6N/1P2p3/P1P1BBPP/1K3R2 w - - 0 28,-141
6nr/p2kp1bp/2ppb3/2q5/Q5BN/1P2p3/P1P2BPP/1K3R2 b - - 1 28,-619
7r/p2kp1bp/2ppbn2/2q5/Q5BN/1P2p3/P1P2BPP/1K3R2 w - - 2 29,-33
7r/p2kp1bp/2ppBn2/2q5/Q6N/1P2p3/P1P2BPP/1K3R2 b - - 0 29,-46
7r/p3p1bp/2ppkn2/2q5/Q6N/1P2p3/P1P2BPP/1K3R2 w - - 0 30,0
7r/p3p1bp/2ppkn2/2q5/Q6N/1P2p3/P1P3PP/1K3RB1 b - - 1 30,-286
7r/p3pkbp/2pp1n2/2q5/Q6N/1P2p3/P1P3PP/1K3RB1 w - - 2 31,+119
7r/p3pkbp/2pp1n2/2q5/Q6N/1P2p3/P1P3PP/1K2R1B1 b - - 3 31,-592
7r/p3pkbp/2pp4/2q5/Q3n2N/1P2p3/P1P3PP/1K2R1B1 w - - 4 32,+309
7r/p3pkbp/2pp4/2q5/4Q2N/1P2p3/P1P3PP/1K2R1B1 b - - 0 32,+265
7r/p3pkbp/2pp4/8/4Q2N/1Pq1p3/P1P3PP/1K2R1B1 w - - 1 33,+323
7r/p3Qkbp/2pp4/8/7N/1Pq1p3/P1P3PP/1K2R1B1 b - - 0 33,-343
7r/p3k1bp/2pp4/8/7N/1Pq1p3/P1P3PP/1K2R1B1 w - - 0 34,-336
7r/p3k1bp/2pp4/8/7N/1Pq1R3/P1P3PP/1K4B1 b - - 0 34,-353
7r/p3k1bp/2pp4/8/7N/1P2q3/P1P3PP/1K4B1 w - - 0 35,-173
7r/p3k1bp/2pp4/8/7N/1P2B3/P1P3PP/1K6 b - - 0 35,-239
5r2/p3k1bp/2pp4/8/7N/1P2B3/P1P3PP/1K6 w - - 1 36,-157
5r2/p3k1bp/2pp4/8/8/1P2BN2/P1P3PP/1K6 b - - 2 36,-184
5r2/4k1bp/p1pp4/8/8/1P2BN2/P1P3PP/1K6 w - - 0 37,-162
5r2/4k1bp/p1pp4/8/8/1P2BN2/P1P3PP/2K5 b - - 1 37,-208
8/4k1bp/p1pp4/5r2/8/1P2BN2/P1P3PP/2K5 w - - 2 38,-150
8/4k1bp/p1pp4/5r2/8/1P2BN2/P1PK2PP/8 b - - 3 38,-178
8/4k1bp/p1pp4/r7/8/1P2BN2/P1PK2PP/8 w - - 4 39,-145
8/4k1bp/p1pp4/r7/P7/1P2BN2/2PK2PP/8 b - - 0 39,-176
8/4k1bp/p1pp4/7r/P7/1P2BN2/2PK2PP/8 w - - 1 40,-95
8/4k1bp/p1pp4/7r/P7/1P1KBN2/2P3PP/8 b - - 2 40,-155
8/4k2p/p1pp3b/7r/P7/1P1KBN2/2P3PP/8 w - - 3 41,-142
8/4k2p/p1pp3b/7r/P7/1P1K1N2/2P2BPP/8 b - - 4 41,-164
8/4k2p/p1pp3b/3r4/P7/1P1K1N2/2P2BPP/8 w - - 5 42,-157
8/4k2p/p1pp3b/3r4/P7/1P3N2/2P1KBPP/8 b - - 6 42,-158
8/4k2p/p1pp3b/5r2/P7/1P3N2/2P1KBPP/8 w - - 7 43,-149
8/4k2p/p1pp3b/5r2/P5P1/1P3N2/2P1KB1P/8 b - - 0 43,-171
8/4kr1p/p1pp3b/8/P5P1/1P3N2/2P1KB1P/8 w - - 1 44,-143
8/4kr1p/p1pp3b/8/P2N2P1/1P6/2P1KB1P/8 b - - 2 44,-199
8/3k1r1p/p1pp3b/8/P2N2P1/1P6/2P1KB1P/8 w - - 3 45,-138
8/3k1r1p/p1pp3b/8/P2N2P1/1P5P/2P1KB2/8 b - - 0 45,-191
8/3k1r1p/p2p3b/2p5/P2N2P1/1P5P/2P1KB2/8 w - - 0 46,-169
8/3k1r1p/p2p3b/2p2N2/P5P1/1P5P/2P1KB2/8 b - - 1 46,-171
5b2/3k1r1p/p2p4/2p2N2/P5P1/1P5P/2P1KB2/8 w - - 2 47,-175
5b2/3k1r1p/p2p4/2p2N2/P5P1/1P4BP/2P1K3/8 b - - 3 47,-203
5b2/5r1p/p2pk3/2p2N2/P5P1/1P4BP/2P1K3/8 w - - 4 48,-161
5b2/5r1p/p2pk3/2p2N2/P5P1/1P1K2BP/2P5/8 b - - 5 48,-223
5b2/1r5p/p2pk3/2p2N2/P5P1/1P1K2BP/2P5/8 w - - 6 49,-198
5b2/1r5p/p2pk3/2p2N2/P5P1/1P1K3P/2P5/4B3 b - - 7 49,-227
8/1r4bp/p2pk3/2p2N2/P5P1/1P1K3P/2P5/4B3 w - - 8 50,-181
8/1r4bp/p2pk3/2p2N2/P1K3P1/1P5P/2P5/4B3 b - - 9 50,-223
8/1r5p/p2pk3/2p1bN2/P1K3P1/1P5P/2P5/4B3 w - - 10 51,-205
8/1r5p/p2pk3/2p1bN2/P1K3P1/1P5P/2PB4/8 b - - 11 51,-238
8/2r4p/p2pk3/2p1bN2/P1K3P1/1P5P/2PB4/8 w - - 12 52,-193
8/2r4p/p2pk3/B1p1bN2/P1K3P1/1P5P/2P5/8 b - - 13 52,-299
8/2r4p/p3k3/B1ppbN2/P1K3P1/1P5P/2P5/8 w - - 0 53,-253
8/2r4p/p3k3/B1ppbN2/P5P1/1P1K3P/2P5/8 b - - 1 53,-301
8/2r4p/p3k3/B2pbN2/P1p3P1/1P1K3P/2P5/8 w - - 0 54,-315
8/2r4p/p3k3/B2pbN2/P1p3P1/1P5P/2PK4/8 b - - 1 54,-269
8/1r5p/p3k3/B2pbN2/P1p3P1/1P5P/2PK4/8 w - - 2 55,-310
8/1r5p/p3k3/B2pbN2/P1P3P1/7P/2PK4/8 b - - 0 55,-337
8/1r5p/p3k3/B3bN2/P1p3P1/7P/2PK4/8 w - - 0 56,-313
8/1r5p/p3k3/B3b3/P1p3P1/4N2P/2PK4/8 b - - 1 56,-321
8/1r5p/p3k3/B7/P1p2bP1/4N2P/2PK4/8 w - - 2 57,-314
8/1r5p/p3k3/B7/P1p2bP1/4N2P/2P1K3/8 b - - 3 57,-376
8/1r5p/p3k3/B7/P1p3P1/4b2P/2P1K3/8 w - - 0 58,-249
8/1r5p/p3k3/B7/P1p3P1/4K2P/2P5/8 b - - 0 58,-297
8/7p/p3k3/B7/P1p3P1/4K2P/1rP5/8 w - - 1 59,-293
8/7p/p3k3/B7/P1p3P1/2P1K2P/1r6/8 b - - 0 59,-464
8/7p/p3k3/B7/P1p3P1/2P1K2P/7r/8 w - - 1 60,-426
8/7p/p3k3/B7/P1pK2P1/2P4P/7r/8 b - - 2 60,-519
8/7p/p3k3/B7/P1pK2P1/2P4r/8/8 w - - 0 61,-511
8/7p/p3k3/B5P1/P1pK4/2P4r/8/8 b - - 0 61,-655
8/7p/p3k3/B5P1/P1pK4/2P3r1/8/8 w - - 1 62,-737
8/7p/p3k3/B5P1/P1K5/2P3r1/8/8 b - - 0 62,-708
8/7p/p3k3/B5r1/P1K5/2P5/8/8 w - - 0 63,-1558
3B4/7p/p3k3/6r1/P1K5/2P5/8/8 b - - 1 63,-744
3B4/7p/p3k3/8/P1K3r1/2P5/8/8 w - - 2 64,-1191
3B4/7p/p3k3/2K5/P5r1/2P5/8/8 b - - 3 64,-1483
3B4/7p/p3k3/2K5/r7/2P5/8/8 w - - 0 65,-1407
3B4/7p/p3k3/2K5/r1P5/8/8/8 b - - 0 65,-909
3B4/3k3p/p7/2K5/r1P5/8/8/8 w - - 1 66,-849
8/3k3p/p7/2K5/r1P4B/8/8/8 b - - 2 66,-741
8/3k3p/p7/2K5/2P4B/8/r7/8 w - - 3 67,-1263
8/3k3p/pK6/8/2P4B/8/r7/8 b - - 4 67,-941
8/3k3p/pK6/8/2P4B/8/1r6/8 w - - 5 68,-1416
rnbqkbnr/pp2pppp/8/3p4/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 4,-14
r1bqkbnr/pp2pppp/2n5/3p4/3P4/3B4/PPP2PPP/RNBQK1NR w KQkq - 2 5,+54
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq - 0 5,+12
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 1 6,+79
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB3P/PP3PP1/RNBQK1NR b KQkq - 0 6,-3
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P4/2PB3P/PP3PP1/RNBQK1NR w KQkq - 0 7,+49
r1bqkb1r/pp2pp1p/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQK2R b KQkq - 1 7,-32
r1bqk2r/pp2ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQK2R w KQkq - 2 8,+55
r1bqk2r/pp2ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 b kq - 3 8,0
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 w - - 4 9,+49
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQR1K1 b - - 5 9,-26
r1b2rk1/ppq1ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQR1K1 w - - 6 10,+56
r1b2rk1/ppq1ppbp/2n2np1/3p4/3P4/2PB1N1P/PP1N1PP1/R1BQR1K1 b - - 7 10,+20
r4rk1/ppq1ppbp/2n2np1/3p1b2/3P4/2PB1N1P/PP1N1PP1/R1BQR1K1 w - - 8 11,+84
r4rk1/ppq1ppbp/2n2np1/3p1b2/3P4/2PB1N1P/PP3PP1/R1BQRNK1 b - - 9 11,-69
r4rk1/ppq1ppbp/2n2np1/3p4/3P4/2Pb1N1P/PP3PP1/R1BQRNK1 w - - 0 12,+32
r4rk1/ppq1ppbp/2n2np1/3p4/3P4/2PQ1N1P/PP3PP1/R1B1RNK1 b - - 0 12,-27
r4rk1/1pq1ppbp/p1n2np1/3p4/3P4/2PQ1N1P/PP3PP1/R1B1RNK1 w - - 0 13,+29
r4rk1/1pq1ppbp/p1n2np1/3p4/3P4/2PQ1NNP/PP3PP1/R1B1R1K1 b - - 1 13,-42
r4rk1/1pq2pbp/p1n1pnp1/3p4/3P4/2PQ1NNP/PP3PP1/R1B1R1K1 w - - 0 14,+28
r4rk1/1pq2pbp/p1n1pnp1/3p2B1/3P4/2PQ1NNP/PP3PP1/R3R1K1 b - - 1 14,-55
r4rk1/2q2pbp/p1n1pnp1/1p1p2B1/3P4/2PQ1NNP/PP3PP1/R3R1K1 w - - 0 15,+8
r4rk1/2q2pbp/p1n1pnp1/1p1p2B1/3P4/2P2NNP/PP1Q1PP1/R3R1K1 b - - 1 15,-23
r1r3k1/2q2pbp/p1n1pnp1/1p1p2B1/3P4/2P2NNP/PP1Q1PP1/R3R1K1 w - - 2 16,+13
r1r3k1/2q2pbp/p1n1pnpB/1p1p4/3P4/2P2NNP/PP1Q1PP1/R3R1K1 b - - 3 16,-21
r1r3k1/2q2pbp/p3pnpB/np1p4/3P4/2P2NNP/PP1Q1PP1/R3R1K1 w - - 4 17,0
r1r3k1/2q2pbp/p3pnpB/np1p4/3P3P/2P2NN1/PP1Q1PP1/R3R1K1 b - - 0 17,-106
r1r3k1/2q2pbp/p3pnpB/1p1p4/2nP3P/2P2NN1/PP1Q1PP1/R3R1K1 w - - 1 18,-77
r1r3k1/2q2pbp/p3pnpB/1p1p4/2nP3P/2P2NN1/PP3PP1/R1Q1R1K1 b - - 2 18,-111
r1r3k1/2q2p1p/p3pnpb/1p1p4/2nP3P/2P2NN1/PP3PP1/R1Q1R1K1 w - - 0 19,-55
r1r3k1/2q2p1p/p3pnpQ/1p1p4/2nP3P/2P2NN1/PP3PP1/R3R1K1 b - - 0 19,-122
r1r3k1/2q2p1p/p3pnpQ/1p1p4/3P3P/2P2NN1/Pn3PP1/R3R1K1 w - - 0 20,-73
r1r3k1/2q2p1p/p3pnpQ/1p1pN3/3P3P/2P3N1/Pn3PP1/R3R1K1 b - - 1 20,-174
r1rq2k1/5p1p/p3pnpQ/1p1pN3/3P3P/2P3N1/Pn3PP1/R3R1K1 w - - 2 21,-61
r1rq2k1/5p1p/p3pnpQ/1p1pN2P/3P4/2P3N1/Pn3PP1/R3R1K1 b - - 0 21,-137
2rq2k1/r4p1p/p3pnpQ/1p1pN2P/3P4/2P3N1/Pn3PP1/R3R1K1 w - - 1 22,-100
2rq2k1/r4p1p/p3pnpQ/1p1pN2P/3P4/2P1R1N1/Pn3PP1/R5K1 b - - 2 22,-187
2rq2k1/r4p1p/p3pnpQ/1p1pN2P/2nP4/2P1R1N1/P4PP1/R5K1 w - - 3 23,-144
2rq2k1/r4p1p/p3pnpQ/1p1p3P/2NP4/2P1R1N1/P4PP1/R5K1 b - - 0 23,-158
3q2k1/r4p1p/p3pnpQ/1p1p3P/2rP4/2P1R1N1/P4PP1/R5K1 w - - 0 24,-138
3q2k1/r4p1p/p3pnpQ/1p1p3P/2rP4/2P2RN1/P4PP1/R5K1 b - - 1 24,-171
3q2k1/r4p1p/p3p1pQ/1p1p3P/2rP2n1/2P2RN1/P4PP1/R5K1 w - - 2 25,-99
3q2k1/r4p1p/p3p1p1/1p1p3P/2rP1Qn1/2P2RN1/P4PP1/R5K1 b - - 3 25,-238
3q2k1/r6p/p3p1p1/1p1p1p1P/2rP1Qn1/2P2RN1/P4PP1/R5K1 w - - 0 26,-113
3q2k1/r6p/p3p1p1/1p1p1p1P/2rP2n1/2P2RN1/P2Q1PP1/R5K1 b - - 1 26,-190
3q2k1/2r4p/p3p1p1/1p1p1p1P/2rP2n1/2P2RN1/P2Q1PP1/R5K1 w - - 2 27,-170
3q2k1/2r4p/p3p1p1/1p1p1p1P/2rP2n1/2P2RN1/P2Q1PP1/4R1K1 b - - 3 27,-230
3q2k1/7p/p1r1p1p1/1p1p1p1P/2rP2n1/2P2RN1/P2Q1PP1/4R1K1 w - - 4 28,-172
3q2k1/7p/p1r1p1p1/1p1p1p1P/2rP2n1/2P2R2/P2Q1PP1/4RNK1 b - - 5 28,-216
3q2k1/7p/p1r1p1p1/3p1p1P/1prP2n1/2P2R2/P2Q1PP1/4RNK1 w - - 0 29,-164
3q2k1/7p/p1r1p1p1/3p1p1P/1PrP2n1/5R2/P2Q1PP1/4RNK1 b - - 0 29,-226
3q2k1/7p/p1r1p1p1/3p1p1P/1P1P2n1/5R2/P1rQ1PP1/4RNK1 w - - 1 30,-156
3q2k1/7p/p1r1p1p1/3p1p1P/1P1P2n1/3Q1R2/P1r2PP1/4RNK1 b - - 2 30,-291
6k1/7p/p1r1p1p1/3p1p1P/1P1P2nq/3Q1R2/P1r2PP1/4RNK1 w - - 3 31,-240
6k1/7p/p1r1p1p1/3p1p1P/1P1P2nq/3Q1RP1/P1r2P2/4RNK1 b - - 0 31,-340
6k1/7p/p1r1p1p1/3p1p1q/1P1P2n1/3Q1RP1/P1r2P2/4RNK1 w - - 0 32,-344
6k1/7p/p1r1p1p1/1P1p1p1q/3P2n1/3Q1RP1/P1r2P2/4RNK1 b - - 0 32,-376
6k1/7p/p1r1p1p1/1P1p1p1q/3P2n1/3Q1RP1/P4P2/2r1RNK1 w - - 1 33,+548
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/3Q1RP1/P4P2/2r1RNK1 b - - 0 33,+332
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/3Q1RP1/P4P2/4rNK1 w - - 0 34,+337
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/3Q1RP1/P4PK1/4rN2 b - - 1 34,+213
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/3Q1RP1/P4PK1/2r2N2 w - - 2 35,+224
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/2Q2RP1/P4PK1/2r2N2 b - - 3 35,+733
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/2Q2RP1/P4PK1/5r2 w - - 0 36,+1324
6k1/7p/p1P1p1p1/3p1p1q/3P2n1/2Q2RP1/P4P2/5K2 b - - 0 36,+1342
6k1/7p/p1P1p1p1/3p1p2/3P2n1/2Q2RP1/P4P2/5K1q w - - 1 37,+1484
6k1/7p/p1P1p1p1/3p1p2/3P2n1/2Q2RP1/P3KP2/7q b - - 2 37,+1525
6k1/7p/p1P1p1p1/3p1p2/3P4/2Q2RP1/P3KP1n/7q w - - 3 38,+1603
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q2RP1/P3KP1n/7q b - - 0 38,+1547
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q2RP1/P3KP1n/5q2 w - - 1 39,+1569
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q2RP1/P2K1P1n/5q2 b - - 2 39,+2402
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q2nP1/P2K1P2/5q2 w - - 0 40,+1408
6k1/2P4p/p3p1p1/3p1p2/3P4/5QP1/P2K1P2/5q2 b - - 0 40,+2458
6k1/2P4p/p3p1p1/3p1p2/2qP4/5QP1/P2K1P2/8 w - - 1 41,+1442
6k1/2P4p/p3p1p1/3p1p2/2qP4/2Q3P1/P2K1P2/8 b - - 2 41,+2535
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q3P1/q2K1P2/8 w - - 0 42,+6030
6k1/2P4p/p3p1p1/3p1p2/3P4/2Q1K1P1/q4P2/8 b - - 1 42,+5997
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,+35
rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,+7
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,+19
rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,0
rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,+35
rnbqkb1r/pp1p1ppp/4pn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,-15
rnbqkb1r/pp3ppp/3ppn2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,+75
rnbqkb1r/pp3ppp/3ppn2/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 6,+12
rnbqkb1r/pp3pp1/3ppn1p/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 7,+72
rnbqkb1r/pp3pp1/3ppn1p/8/3NP1P1/2N5/PPP2PBP/R1BQK2R b KQkq - 1 7,+4
rnbqkb1r/1p3pp1/p2ppn1p/8/3NP1P1/2N5/PPP2PBP/R1BQK2R w KQkq - 0 8,+74
rnbqkb1r/1p3pp1/p2ppn1p/8/3NP1P1/2N5/PPP2PBP/R1BQ1RK1 b kq - 1 8,-10
rnb1kb1r/1pq2pp1/p2ppn1p/8/3NP1P1/2N5/PPP2PBP/R1BQ1RK1 w kq - 2 9,+94
rnb1kb1r/1pq2pp1/p2ppn1p/8/3NP1P1/2N4P/PPP2PB1/R1BQ1RK1 b kq - 0 9,-16
r1b1kb1r/1pq2pp1/p1nppn1p/8/3NP1P1/2N4P/PPP2PB1/R1BQ1RK1 w kq - 1 10,+47
r1b1kb1r/1pq2pp1/p1Nppn1p/8/4P1P1/2N4P/PPP2PB1/R1BQ1RK1 b kq - 0 10,-30
r1b1kb1r/2q2pp1/p1pppn1p/8/4P1P1/2N4P/PPP2PB1/R1BQ1RK1 w kq - 0 11,+29
r1b1kb1r/2q2pp1/p1pppn1p/8/4PPP1/2N4P/PPP3B1/R1BQ1RK1 b kq - 0 11,-24
r1b1kb1r/2q2pp1/p1pp1n1p/4p3/4PPP1/2N4P/PPP3B1/R1BQ1RK1 w kq - 0 12,+49
r1b1kb1r/2q2pp1/p1pp1n1p/4P3/4P1P1/2N4P/PPP3B1/R1BQ1RK1 b kq - 0 12,-21
r1b1kb1r/2q2pp1/p1p2n1p/4p3/4P1P1/2N4P/PPP3B1/R1BQ1RK1 w kq - 0 13,+38
r1b1kb1r/2q2pp1/p1p2n1p/4p3/4P1P1/2N1B2P/PPP3B1/R2Q1RK1 b kq - 1 13,-21
r3kb1r/2q2pp1/p1p1bn1p/4p3/4P1P1/2N1B2P/PPP3B1/R2Q1RK1 w kq - 2 14,+41
r3kb1r/2q2pp1/p1p1bn1p/4p3/4P1P1/2N1B2P/PPP1Q1B1/R4RK1 b kq - 3 14,-64
r3k2r/2q1bpp1/p1p1bn1p/4p3/4P1P1/2N1B2P/PPP1Q1B1/R4RK1 w kq - 4 15,+75
r3k2r/2q1bpp1/p1p1bn1p/4p3/N3P1P1/4B2P/PPP1Q1B1/R4RK1 b kq - 5 15,0
r3k2r/2qnbpp1/p1p1b2p/4p3/N3P1P1/4B2P/PPP1Q1B1/R4RK1 w kq - 6 16,+12
r3k2r/2qnbpp1/p1p1b2p/4p3/N1P1P1P1/4B2P/PP2Q1B1/R4RK1 b kq - 0 16,-110
r4rk1/2qnbpp1/p1p1b2p/4p3/N1P1P1P1/4B2P/PP2Q1B1/R4RK1 w - - 1 17,-13
r4rk1/2qnbpp1/p1p1b2p/4p3/N1P1P1P1/1P2B2P/P3Q1B1/R4RK1 b - - 0 17,-64
r4rk1/3nbpp1/p1p1b2p/q3p3/N1P1P1P1/1P2B2P/P3Q1B1/R4RK1 w - - 1 18,+38
r4rk1/3nbpp1/p1p1b2p/q3p3/N1P1P1P1/1P2B2P/P4QB1/R4RK1 b - - 2 18,-98
r4rk1/3nbpp1/p1p4p/q3p3/N1b1P1P1/1P2B2P/P4QB1/R4RK1 w - - 0 19,-49
r4rk1/3nbpp1/p1p4p/q3p3/N1b1P1P1/1P2B2P/P4QB1/R1R3K1 b - - 1 19,-59
r4rk1/3nbpp1/p1p1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/R1R3K1 w - - 2 20,-23
r4rk1/3nbpp1/p1R1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/R5K1 b - - 0 20,-58
r1r3k1/3nbpp1/p1R1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/R5K1 w - - 1 21,-41
r1r3k1/3nbpp1/p1R1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/2R3K1 b - - 2 21,-55
r5k1/3nbpp1/p1r1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/2R3K1 w - - 0 22,-16
r5k1/3nbpp1/p1R1b2p/q3p3/N3P1P1/1P2B2P/P4QB1/6K1 b - - 0 22,-61
r5k1/4bpp1/p1R1bn1p/q3p3/N3P1P1/1P2B2P/P4QB1/6K1 w - - 1 23,0
r5k1/4bpp1/pR2bn1p/q3p3/N3P1P1/1P2B2P/P4QB1/6K1 b - - 2 23,-43
3r2k1/4bpp1/pR2bn1p/q3p3/N3P1P1/1P2B2P/P4QB1/6K1 w - - 3 24,-19
